path,size_bytes,role,decision,notes
.github/pull_request_template.md,518,source package metadata/artifact manifest,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
BUILD_INSTRUCTIONS.md,2001,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
CONSOLIDATED_VERSION_HISTORY.md,8296,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
HELP.md,1738,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
KNOWN_ISSUES.md,6140,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
RELEASE_NOTES.md,4713,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
V1_1_9_DELETED_FILES_MANIFEST.md,300,source package metadata/artifact manifest,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
VERSION_HISTORY.md,131980,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/BUILD_NOTES.md,6066,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/BaselineVersionHistory.md,131959,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/CONSOLIDATED_USER_MANUAL.md,14322,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/CONSOLIDATED_VERSION_HISTORY.md,9486,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/CONTINUATION_HANDOFF.md,10708,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/DETAILED_ROADMAP_AND_TESTING_TIMELINE.md,12171,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/EVIDENCE_SOURCE_STAGING_ROADMAP.md,2457,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/EVIDENCE_SOURCE_STAGING_WORKFLOW.md,2323,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/FILESYSTEM_INVENTORY_SQLITE_PLAN.md,2323,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/FULL_VERSION_HISTORY.md,131980,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/GITHUB_PROJECT_SETUP.md,970,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/IOS_CORESPOTLIGHT_ROADMAP.md,18332,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/MACOS_INVESTIGATIVE_FEATURES_CURRENT_AND_ROADMAP.md,3313,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/NEW_CHAT_CONTINUATION_GUIDE.md,3967,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/PACKAGE_CLEANUP_SUMMARY.md,8926,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/PROJECT_ROADMAP_AND_CONTINUATION.md,13864,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/QUICK_START.md,1651,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/README.md,7328,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/ROADMAP_CHECKLIST.md,13056,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/SOURCE_PACKAGE_CLEANUP_POLICY.md,1055,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/SUGGESTIONS_AND_FIXES_TRACKER.md,23507,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/THIN_UPLOAD_REVIEW_WORKFLOW.md,1783,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/TROUBLESHOOTING.md,2084,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/USER_MANUAL.md,930,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_10_GUI_VIEW_REGISTRY_REFACTOR.md,2171,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_12_STRUCTURAL_CLEANUP_AND_APFS_DIAGNOSTIC_IO_REVIEW.md,2753,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_15_COPYOUT_SOURCE_ISOLATION.md,1674,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_15_LZFSE_LZVN_SOURCE_REVIEW.md,1698,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_15_PRODUCTION_MODULARIZATION_REVIEW.md,1407,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_15_STOREV2_DUAL_PROCESS_COMPARE.md,1862,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_18_APPLE_LZFSE_VENDOR_ENABLEMENT.md,2200,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_18_DIRECT_LOGICAL_SIZE_TRIM.md,1692,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_18_GUI_EXPORT_AND_MODULARIZATION_CLEANUP.md,2168,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_18_LZFSE_LZVN_OPTIONAL_VENDOR_INTEGRATION.md,1910,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_18_MODULARIZATION_CLEANUP_PLAN.md,3354,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_20_GUI_EXPORT_AND_APFS_DIAGNOSTIC_MODULARIZATION.md,1813,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_21_GUI_BUILD_HOTFIX.md,774,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_22_GUI_EXPORT_WORKER_MODULARIZATION.md,1081,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_23_APFS_DIAGNOSTIC_MODEL_HEADER.md,1018,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_25_GUI_VIEW_HELPERS_BUILD_HOTFIX.md,254,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_25_THIN_UPLOAD_SECURITY_AND_IOS_PERFORMANCE.md,1689,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_26_THIN_UPLOAD_AND_IO_HARDENING.md,1799,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_27_PROCESS_AND_GUI_SQLITE_HARDENING.md,3431,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_28_1_APFS_DIAGNOSTIC_EXPORTER_RELOCATION.md,1060,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_29_BUILD_HOTFIX.md,939,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_29_BUILD_SCRIPT_AND_LOW_RISK_HARDENING.md,1237,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_2_AFF4_APFS_EXTRACTION_AND_CLEANUP.md,5744,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_30_IOS_DB_AND_GUI_EXPORT_LIFECYCLE.md,1693,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_31_EVIDENCE_INTAKE_HELPERS_AND_IOS_IMPORT_PERFORMANCE.md,1046,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_4_AFF4_APFS_REVIEW_AND_LIMIT_CLEANUP.md,2965,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_6_APFS_BTREE_ITERATOR_AND_DIRECT_COPYOUT.md,1864,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_0_7_APFS_MODULE_REFACTOR.md,3412,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_0_1_PACKAGING_HOTFIX.md,512,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_0_ORCHESTRATOR_MODULARIZATION_AND_DB_LIFETIME.md,1471,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_1_EVIDENCE_INTAKE_AND_GUI_INGEST_THREAD.md,1489,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_2_CANCELLATION_DLL_AND_BPLIST_HARDENING.md,1592,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
