relative_path,bytes,decision,reason
.github/pull_request_template.md,518,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
BUILD_INSTRUCTIONS.md,2393,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
CMakeLists.txt,2990,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
CONSOLIDATED_VERSION_HISTORY.md,8296,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
HELP.md,2130,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
KNOWN_ISSUES.md,6140,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
RELEASE_NOTES.md,5318,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
VERSION.txt,7,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
VERSION_HISTORY.md,133066,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/BUILD_NOTES.md,6066,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/BaselineVersionHistory.md,133066,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/CONSOLIDATED_USER_MANUAL.md,14714,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/CONSOLIDATED_VERSION_HISTORY.md,9486,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/CONTINUATION_HANDOFF.md,12259,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/DETAILED_ROADMAP_AND_TESTING_TIMELINE.md,12171,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/EVIDENCE_SOURCE_STAGING_ROADMAP.md,2457,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/EVIDENCE_SOURCE_STAGING_WORKFLOW.md,2323,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/FILESYSTEM_INVENTORY_SQLITE_PLAN.md,2323,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/FULL_VERSION_HISTORY.md,133066,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/GITHUB_PROJECT_SETUP.md,970,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/IOS_CORESPOTLIGHT_ROADMAP.md,18332,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/MACOS_INVESTIGATIVE_FEATURES_CURRENT_AND_ROADMAP.md,3313,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/NEW_CHAT_CONTINUATION_GUIDE.md,3967,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/PACKAGE_CLEANUP_SUMMARY.md,8926,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/PROJECT_ROADMAP_AND_CONTINUATION.md,13864,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/QUICK_START.md,2043,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/README.md,7328,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/ROADMAP_CHECKLIST.md,14607,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/SOURCE_PACKAGE_CLEANUP_POLICY.md,1055,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/SUGGESTIONS_AND_FIXES_TRACKER.md,25058,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/THIN_UPLOAD_REVIEW_WORKFLOW.md,1783,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/TROUBLESHOOTING.md,2476,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/USER_MANUAL.md,1322,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/V1_0_10_GUI_VIEW_REGISTRY_REFACTOR.md,2171,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_12_STRUCTURAL_CLEANUP_AND_APFS_DIAGNOSTIC_IO_REVIEW.md,2753,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_15_COPYOUT_SOURCE_ISOLATION.md,1674,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_15_LZFSE_LZVN_SOURCE_REVIEW.md,1698,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_15_PRODUCTION_MODULARIZATION_REVIEW.md,1407,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_15_STOREV2_DUAL_PROCESS_COMPARE.md,1862,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_18_APPLE_LZFSE_VENDOR_ENABLEMENT.md,2200,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_18_DIRECT_LOGICAL_SIZE_TRIM.md,1692,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_18_GUI_EXPORT_AND_MODULARIZATION_CLEANUP.md,2168,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_18_LZFSE_LZVN_OPTIONAL_VENDOR_INTEGRATION.md,1910,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_18_MODULARIZATION_CLEANUP_PLAN.md,3354,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_20_GUI_EXPORT_AND_APFS_DIAGNOSTIC_MODULARIZATION.md,1813,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_21_GUI_BUILD_HOTFIX.md,774,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_22_GUI_EXPORT_WORKER_MODULARIZATION.md,1081,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_23_APFS_DIAGNOSTIC_MODEL_HEADER.md,1018,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_25_GUI_VIEW_HELPERS_BUILD_HOTFIX.md,254,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_25_THIN_UPLOAD_SECURITY_AND_IOS_PERFORMANCE.md,1689,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_26_THIN_UPLOAD_AND_IO_HARDENING.md,1799,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_27_PROCESS_AND_GUI_SQLITE_HARDENING.md,3431,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_28_1_APFS_DIAGNOSTIC_EXPORTER_RELOCATION.md,1060,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_29_BUILD_HOTFIX.md,939,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_29_BUILD_SCRIPT_AND_LOW_RISK_HARDENING.md,1237,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_2_AFF4_APFS_EXTRACTION_AND_CLEANUP.md,5744,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_30_IOS_DB_AND_GUI_EXPORT_LIFECYCLE.md,1693,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_31_EVIDENCE_INTAKE_HELPERS_AND_IOS_IMPORT_PERFORMANCE.md,1046,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_4_AFF4_APFS_REVIEW_AND_LIMIT_CLEANUP.md,2965,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_6_APFS_BTREE_ITERATOR_AND_DIRECT_COPYOUT.md,1864,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_0_7_APFS_MODULE_REFACTOR.md,3412,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_0_1_PACKAGING_HOTFIX.md,512,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_0_ORCHESTRATOR_MODULARIZATION_AND_DB_LIFETIME.md,1471,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_1_EVIDENCE_INTAKE_AND_GUI_INGEST_THREAD.md,1489,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_2_CANCELLATION_DLL_AND_BPLIST_HARDENING.md,1592,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_3_EXPORT_CANCEL_AND_PURGE_HARDENING.md,935,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_4_BPLIST_AND_GUI_STATE_HARDENING.md,763,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_5_1_BUILD_HOTFIX.md,365,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_5_AFF4_CANCEL_AND_UPLOAD_GUARDS.md,1574,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_6_1_AFF4_WORKER_WINDOWS_BUILD_HOTFIX.md,668,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_6_AFF4_PROBE_WORKER_DIRECT_MAP_SPLIT.md,987,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_7_1_BUILD_HOTFIX_AND_PACKAGE_CLEANUP.md,994,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_7_AFF4_PROBE_WORKER_DYNAMIC_RELOCATION.md,1146,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_8_WINDOWS_PATH_AND_HISTORY_BASELINE.md,920,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/V1_1_9_LIVE_APFS_LEAF_TRAVERSAL_AND_SOURCE_REVIEW.md,1325,KEEP,Version-scoped design/review note retained as historical implementation context.
docs/VALIDATION_HISTORY.md,7431,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/VALIDATION_STATUS.md,6580,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/VERSION_HISTORY_APPEND_ONLY_POLICY.md,948,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
docs/WORKFLOW_LEDGER.md,13312,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
scripts/Build-V1_1_10.ps1,2091,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Create-GitHubLabels.ps1,1157,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Create-GitHubProjectIssues.ps1,2700,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Initialize-GitHubRepo.ps1,1018,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Launch-V1_1_10-GUI.ps1,604,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/New-ReleaseBranch.ps1,260,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Package-GitHubValidationBundle.ps1,1208,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Package-V1_1_10-macOS-AFF4-ThinFromExistingCase.ps1,1826,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Run-Local-WindowsBuild.ps1,400,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Run-V1_1_10-macOS-AFF4-Probe-AndZip.ps1,1770,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Run-V1_1_10-macOS-AFF4-Probe-AndZip.txt,769,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
scripts/Sync-Version-To-GitRepo.ps1,1853,KEEP,Current or support PowerShell workflow retained; no ambiguous script deletion without user approval.
third_party/lzfse/CMakeLists.txt,4231,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
third_party/lzfse/README.md,2582,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
third_party/lzfse/VESTIGANT_VENDOR_MANIFEST.txt,500,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Build-Aff4CppLite-VS2022.ps1,19842,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Collect-iOSCoreSpotlightQuickDiagnostics.ps1,15428,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Compare-ExternalSpotlightReference.ps1,22329,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Create-ApfsRemainingMismatchDiagnostics.ps1,9717,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Create-SourceProbeUploadZip.ps1,21309,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Create-UploadZip.ps1,6241,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Extract-IosCoreSpotlightFromZips.ps1,3739,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Extract-iOSCoreSpotlightFromFFSZips.ps1,3862,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Prepare-LzfseThirdParty.ps1,2040,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Probe-Aff4DirectMapScan.ps1,5041,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Run-IosCoreSpotlightFocusedZip.ps1,2975,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Run-SingleAff4SourceProbeAndZip.ps1,27806,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Run-iOSCoreSpotlightFocusedAndZip.ps1,2045,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Search-SpotlightKeywordExports.ps1,6609,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
tools/Stage-EvidenceSource.ps1,15022,KEEP,"Current source-package documentation/script needed for build, workflow, validation history, source tooling, or append-only project context."
validation/V1_0_10_validation_summary.txt,767,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_12_validation_summary.txt,1220,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_15_validation_summary.txt,1351,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_18_validation_summary.txt,1303,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_20_validation_summary.txt,645,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_21_validation_summary.txt,868,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_22_validation_summary.txt,552,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_23_validation_notes.md,2037,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_25_patch_manifest.txt,1615,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_25_validation_notes.md,2252,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_26_1_validation_notes.md,1671,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_26_patch_manifest.txt,1169,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_26_validation_notes.md,1378,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_27_validation_notes.md,1449,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_29_validation_notes.md,2025,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_30_validation_notes.md,3361,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_31_validation_notes.md,953,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_6_linux_validation_summary.txt,1085,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_0_7_validation_summary.txt,857,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_0_1_validation_notes.md,865,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_0_validation_notes.md,1718,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_1_validation_notes.md,1977,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_2_validation_notes.md,2254,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_3_validation_notes.md,1780,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_4_validation_notes.md,2631,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_5_1_validation_notes.md,927,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_5_validation_notes.md,1991,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_6_1_validation_notes.md,1703,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_6_validation_notes.md,1751,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_7_1_validation_notes.md,2011,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_7_validation_notes.md,907,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_8_validation_notes.md,1703,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_9_1_validation_notes.md,1275,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
validation/V1_1_9_validation_notes.md,990,KEEP,Historical validation note/log retained as audit trail; not active runtime input.
